title,price,location,surface,total_pieces,bedrooms,bathrooms,link,ad_id,antenne_parabolique,ascenseur,chambre_rangement,chauffage_central,chemine,climatisation,concierge,cuisine_quipe,double_vitrage,entreseul,faade_extrieure,four,garage,jardin,machine__laver,meubl,microondes,piscine,porte_blinde,rfrigrateur,salon_europen,scurit,terrasse,vue_sur_les_montagnes,vue_sur_mer
S1 direct promoteur en vente a kantaoui,330 810 TND,"El Kantaoui,
								Hammam Sousse","72
						m²",1 Pièce,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8231733/s1-direct-promoteur-en-vente-a-kantaoui,N/A,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0
S4 Neuf de 243m² aux jardins de Carthage,Prix à consulter,"Les Jardins de Carthage,
								Le Kram","243
						m²",5 Pièces,4 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/pa/8029820/s4-neuf-de-243m%C2%B2-aux-jardins-de-carthage,N/A,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
Superbe appartement à vendre à Cité el Ghazela. Superficie 6...,235 000 TND,"Cité el Ghazela,
								Raoued","69
						m²",2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/pa/7998872/superbe-appartement-%C3%A0-vendre-%C3%A0-cit%C3%A9-el-ghazela-superficie-69-m%C2%B2,N/A,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Magnifique Duplex,1 255 000 TND,Mahdia,"252
						m²",7 Pièces,3 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/pa/8178539/magnifique-duplex,N/A,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
Appartement à l'achat à La Soukra,Prix à consulter,La Soukra,"108
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/8018835/appartement-%C3%A0-l-achat-%C3%A0-la-soukra,N/A,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
A vendre un grand S2 à El Manzah 9C,Prix à consulter,"El Menzah 9,
								El Menzah","72
						m²",4 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/pa/7901654/a-vendre-un-grand-s2-%C3%A0-el-manzah-9c,N/A,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0
A vendre S3 à Cité el Ghazela,Prix à consulter,"Cité el Ghazela,
								Raoued","140
						m²",4 Pièces,3 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/8027225/a-vendre-s3-%C3%A0-cit%C3%A9-el-ghazela,N/A,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0
Résidence Des Parcs aux jardins de Carthage,À partir de 327 000 TND,"Les Jardins de Carthage, Le Kram",N/A,N/A,N/A,N/A,https://www.mubawab.tn/fr/p/4068/r%C3%A9sidence-des-parcs-aux-jardins-de-carthage,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grand S3 à la Résidence Amira, Boumhal",Prix à consulter,"Bou Mhel,
								Boumhel Bassatine","153
						m²",4 Pièces,3 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/pa/7301799/grand-s3-%C3%A0-la-r%C3%A9sidence-amira-boumhal,N/A,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
S1 avec terrasse au 2ème étage,Prix à consulter,La Soukra,"64
						m²",2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/pa/8153077/s1-avec-terrasse-au-2%C3%A8me-%C3%A9tage,N/A,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0
Bel appartement S2 à vendre à Sousse Jaouhara,305 000 TND,Sousse Jaouhara,"106
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/pa/8130945/bel-appartement-s2-%C3%A0-vendre-%C3%A0-sousse-jaouhara,N/A,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
Vivez l’Exceptionnel S3 à Gammarth Les Asters,Prix à consulter,"Gammarth,
								La Marsa","162
						m²",4 Pièces,3 Chambres,3 Salles de bains,https://www.mubawab.tn/fr/pa/8176181/vivez-l%E2%80%99exceptionnel-s3-%C3%A0-gammarth-les-asters,N/A,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1
S2 de 122m² 1er étage,480 000 TND,La Soukra,"122
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/8153049/s2-de-122m%C2%B2-1er-%C3%A9tage,N/A,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0
Apparts Haut standing à 200 m plage Hammam ghzeez,205 000 TND,Hammam El Ghezaz,"85
						m²",2 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/a/8209722/apparts-haut-standing-%C3%A0-200-m-plage-hammam-ghzeez,N/A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Appartement à vendre Les Jardins de Carthage,576 000 TND,"Les Jardins de Carthage,
								Le Kram","118
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/7928573/appartement-%C3%A0-vendre-les-jardins-de-carthage,N/A,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
A vendre s1 avec jardin à la soukra,257 000 TND,La Soukra,"74
						m²",2 Pièces,1 Chambre,1 Salle de bain,https://www.mubawab.tn/fr/a/8235287/a-vendre-s1-avec-jardin-%C3%A0-la-soukra,N/A,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
A vendre S2 promoteur à la Soukra chotrana1,371 000 TND,"Chotrana 1,
								La Soukra","108
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/a/8235277/a-vendre-s2-promoteur-%C3%A0-la-soukra-chotrana1,N/A,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0
Appartement S2 à l'achat à Sousse Jaouhara. Surface totale 9...,282 000 TND,Sousse Jaouhara,"98
						m²",3 Pièces,2 Chambres,1 Salle de bain,https://www.mubawab.tn/fr/pa/8130944/appartement-s2-%C3%A0-l-achat-%C3%A0-sousse-jaouhara-surface-totale-98-m%C2%B2,N/A,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0
À vendre un appartement S1 à 1 min de la Plage,330 810 TND,"El Kantaoui,
								Hammam Sousse","72
						m²",2 Pièces,N/A,N/A,https://www.mubawab.tn/fr/pa/7671867/%C3%A0-vendre-un-appartement-s1-%C3%A0-1-min-de-la-plage,N/A,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fabuleux S2 de 108 m2,439 000 TND,La Soukra,"108
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/8153072/fabuleux-s2-de-108-m2,N/A,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0
Bel Appartement avec terrasse S2 à Kantaoui,383 600 TND,"El Kantaoui,
								Hammam Sousse","97
						m²",3 Pièces,2 Chambres,2 Salles de bains,https://www.mubawab.tn/fr/pa/7670686/bel-appartement-avec-terrasse-s2-%C3%A0-kantaoui,N/A,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
Triplex d’Exception à Gammarth Les Asters,Prix à consulter,"Gammarth,
								La Marsa","300
						m²",5 Pièces,4 Chambres,5 Salles de bains,https://www.mubawab.tn/fr/pa/8175495/triplex-d%E2%80%99exception-%C3%A0-gammarth-les-asters,N/A,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1
